Job Title,Location,Minimum Salary,Maximum Salary,Technologies,Company,Seniority Level
AWS Cloud Architect  NOWA,Zdalnie,27000,35000,"Architecture, Python, AWS, AWS Cloud",Idego Group Sp. z o.o.,Senior
System Administrator (Windows)  NOWA,Zdalnie,15120,18480,"Sys. Administrator, Python, Microsoft Windows, HA",Scalo,Senior
Senior QA Engineer - Remote   NOWA,Zdalnie,20160,23520,"Testing, Python, Java, QA",Infogain Technologies Sp. z o.o.,Senior
Senior Data Engineer z j. angielskim lub niemieckim (People and Project Analytics)  NOWA,Zdalnie,18480,25200,"Data, Python, SQL, Java",dmTECH,Senior
Senior Full-Stack/Back-end Developer C++  NOWA,Kraków,18000,23000,"Fullstack, Python, C++, JavaScript",Motorola Solutions Systems Polska,Senior
Senior Network Automation Software Engineer  NOWA,Zdalnie,25200,33600,"Telekomunikacja, Python, CISCO NSO, Networking",Amartus Polska Sp. z o.o.,Senior
Senior Security Engineer  NOWA,Zdalnie,26880,28560,"Security, Python, OWASP, SonarQube",Scalo,Senior
Data Engineer – Cloud Data Solutions  NOWA,Kraków,21000,29000,"Data, Python, Spark, Azure Cloud",ITDS,Senior
Kierownik Zespołu/Full Stack Developer z C++  NOWA,warszawa,30000,36000,"Fullstack, Python, C++, REST",WB ELectronics S.A.,Expert
Middle Data Scientist Generative AI  NOWA,Zdalnie,15000,20000,"Data, Python, LLM, NLP",SoftServe,Mid
Senior Security Engineer  NOWA,Warszawa,29000,47000,"Security, Python, AWS, Bash",hyperexponential,Senior
Senior Technical Support Engineer ( L3 )  NOWA,Zdalnie,11152,13284,"Support, Python, Java, JavaScript",Mend.io,Senior
Weblogic Administrator Engineer  NOWA,Zdalnie,7000,12000,"Sys. Administrator, Python, WebLogic, Security",Sopra Steria Poland,Mid
Data Architect  NOWA,Wrocław,31920,36960,"Data, Python, Azure, AI",Experis Polska,Mid
Software Backend Developer  NOWA,Warszawa,13000,17000,"Backend, Python, C, Perl",Link Group,Mid
Test Automation Lead - Remote  NOWA,Zdalnie,16800,16800,"Testing, Python, Test automation, CI/CD",Link Group,Senior
Senior Azure MLOps Engineer  NOWA,Zdalnie,30000,37000,"DevOps, Python, Azure, TFS",hubQuest,Senior
Senior Data Scientist  NOWA,Warszawa,22400,33600,"Data, Python, Machine learning, Analytical skills",Adform Sp. z o.o.,Senior
Devops Engineer  NOWA,Gdańsk,21840,22680,"DevOps, Python, Java, SQL",AVENGA,Mid
Remote Embedded C/C++ Developer  NOWA,Zdalnie,20160,33600,"Embedded, Python, C, Linux",int2code GmbH,Mid
Data Engineer (GCP)  NOWA,Zdalnie,18480,26880,"Data, Python, GCP, SQL",GetInData | Part of Xebia,Mid
Specjalista DevOps   NOWA,Zdalnie,16800,23520,"DevOps, Python, Linux, RHEL",Ness Solution,Mid
Data Engineer Lead  NOWA,Zdalnie,28560,31920,"Data, Python, SQL, Google BigQuery",KAHOOT! POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Mid
Senior Data Engineer – Europe Ambulance initiative  NOWA,Warsaw,21000,26000,"Data, Python, PySpark, Azure",Falck Digital Technology Poland Sp. z o.o.,Senior
Scala Developer  NOWA,Gdańsk,25200,28560,"Data, Python, Scala, Spark",emagine Sp. Z o.o.,Mid
Senior Perception Robotics Engineer  NOWA,Zdalnie,18000,28000,"Automatyka, Python, C++, TensorFlow",SoftServe,Senior
Senior Robotics Engineer  NOWA,Zdalnie,18000,28000,"Automatyka, Python, C++, ROS",SoftServe,Senior
Data Engineering Tech Lead (Databricks)  NOWA,Zdalnie,24109,30997,"Data, Python, Snowflake, Relational database",N-iX,Expert
Senior Data Scientist  NOWA,Zdalnie,17500,22500,"Data, Python, Deep learning, Data science",Boneffice System,Senior
Senior QA Engineer  NOWA,Zdalnie,16500,22000,"Testing, Python, Playwright, Selenium",Grape Up,Senior
Senior/Regular C++ Developer – Automotive  NOWA,Zdalnie,11760,22680,"Embedded, Python, C++, Git",Spyrosoft,Senior
Senior Software Engineer  NOWA,Zdalnie,28560,38640,"Data, Python, ETL, SQL",Devire,Senior
LLM Developer  NOWA,Białystok,24000,32000,"AI/ML, Python, LLM, RAG",Sii Polska,Senior
Platform Engineer  NOWA,Kraków,11700,19600,"Fullstack, Python, Java, AWS",Ringier Axel Springer Tech,Mid
Data Scientist  NOWA,Zdalnie,15000,19000,"Data, Python, SQL, LlamaIndex",XTB,Mid
Cloud Engineer,Zdalnie,15340,18170,"DevOps, Python, Cloud, Security",Bamboo Health Sp. z o.o.,Mid
Product Security Architect,Kraków,17000,26000,"Security, Python, Degree, CISSP",Motorola Solutions Systems Polska,Senior
Data Engineer Lead,Zdalnie,22000,27500,"Data, Python, Scala, GCP",Harvey Nash Technology,Senior
Senior Distributed Systems Engineer,Zdalnie,35000,47000,"Backend, Python, Java, Jenkins",RTB House,Senior
Senior Data Engineer,Zdalnie,21321,25421,"Data, Python, AWS, Glue",N-iX,Senior
Lead Data Engineer,Zdalnie,25421,27881,"Data, Python, AWS, SQL",N-iX,Expert
Senior Data Engineer (Azure),Zdalnie,26880,28560,"Data, Python, Azure, Data engineering",Scalo,Senior
Financial Engineering Business Analyst,Cracow,26880,26880,"Business Analysis, Python, Degree, Business Analyst",emagine Sp. Z o.o.,Senior
Senior Data Science Engineer,Zdalnie,26040,31920,"Data, Python, Machine learning, Analytical skills",Infogain Technologies Sp. z o.o.,Senior
Lead Platform/DevOps Engineer,Zdalnie,28701,32801,"DevOps, Python, Ansible, Integration test",TechHunt,Expert
Senior Business Analyst – Financial Risk Management,Warsaw,28560,36960,"Business Analysis, Python, Business Analyst, Testing",Link Group,Senior
DevOps Engineer,Warszawa,25200,25200,"Sys. Administrator, Python, RHEL, Bash script",P&P Solutions Sp. z o.o.,Mid
Administrator Systemów Linux,Kraków,10000,15000,"Sys. Administrator, Python, Linux, RHEL",Unity-T Group,Mid
Site Reliability Engineer,Zdalnie,21000,27000,"DevOps, Python, SRE, Prometheus",XTB,Senior
Data Analyst,Zdalnie,12000,17000,"Data, Python, SQL, Azure",XTB,Mid
FULLSTACK C++ DEVELOPER (PROGRAMISTA C++),Mielec,10000,15000,"Fullstack, Python, C++, Qt",R&G Plus,Mid
Senior Azure DevOps Engineer,Zdalnie,30000,37000,"DevOps, Python, Azure, Azure Cloud",hubQuest,Senior
"Senior Software Engineer, Data Infrastructure",Warszawa,29000,36800,"DevOps, Python, AWS, SQL",Asana,Senior
Cloud Engineer (preferably AWS),Gdańsk,33600,33600,"DevOps, Python, AWS, Terraform",emagine Sp. Z o.o.,Mid
Senior DevOps Engineer,Zdalnie,24601,28701,"DevOps, Python, AWS, Terraform",Naviteq,Senior
Remote Senior Fullstack Developer,Zdalnie,20000,24000,"Fullstack, Python, Golang, GraphQL","Tempest Labs, Inc.",Senior
Azure Data Engineer - Remote,Zdalnie,24601,30751,"Data, Python, Azure, Azure Data Factory",Link Group,Senior
Administrator Systemów / DevOps,Gdańsk,7500,15000,"Sys. Administrator, Python, Linux, Nginx",Parleto,Mid
Backend Developer (project-based) - Remote,Zdalnie,20501,24601,"Backend, Python, Web3, Node.js",Linum Labs,Mid
Quality Automation Engineer,Zdalnie,16400,22551,"Testing, Python, .NET, Test automation",PAR Data Central,Senior
Cyber Threat Intelligence Analyst,Zdalnie,17800,30000,"Security, Python, DevSecOps, Cybersecurity",Volvo Group,Senior
DevOps,Gdańsk,10000,15000,"DevOps, Python, K8s, Ansible",Centrum Usług Informatycznych Politechnika Gdańska,Mid
DevOps Engineer (Sportsbetting),Zabierzów,14000,28000,"DevOps, Python, Terraform, AWS",NOVOMATIC Technologies Poland,Senior
Cyber Threat Intelligence Analyst,Kraków,11000,17000,"Security, Python, Threat and vulnerability assessments, OSINT",Motorola Solutions Systems Polska,Mid
IT Architect/Product Owner,Zdalnie,31080,31080,"Product Management, Python, Keycloak, Security",Unravel,Senior
Mid/Senior Test Automation Engineer with Traffic Generators - Remote,Zdalnie,16500,23000,"Testing, Python, Test automation, IXIA",CodiLime,Mid
Mid/Senior Data Engineer,Zdalnie,23520,31080,"Data, Python, Hadoop, Scala",GetInData | Part of Xebia,Senior
Software Development Engineer - Messaging Platform,Kraków,20000,24000,"PM, Python, Degree, Golang",Remitly Poland sp. z o.o.,Mid
Senior C Software Engineer,Kraków,15000,21000,"Embedded, Python, C, C++",Motorola Solutions Systems Polska,Senior
Senior BI Tableau Specialist,Zdalnie,23520,27720,"Business Intelligence, Python, Tableau, Talend",AVENGA,Senior
TIBCO Integration Developer,Zdalnie,27720,31080,"Inne, Python, TIBCO, Java",1dea,Senior
Senior DevOps and Cloud Infrastructure Engineer,Zdalnie,18509,24679,"DevOps, Python, AWS, K8s",IDBC Creative Solutions Kft.,Expert
Programista PHP,Gdynia,7000,13000,"Fullstack, Python, PHP, SQL",ENAMOR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Mid
Ekspert IT w zakresie rozwiązań sieciowych,Gliwice,15000,21000,"Sys. Administrator, Python, BGP, OSPF",WASKO S.A.,Senior
Senior Fullstack Developer,Warszawa,22000,27000,"Fullstack, Python, Java, AWS",PYSENSE Sp. z o. o.,Senior
Programista Linux (C/C++),Warszawa,17000,23000,"Backend, Python, C++, C",Superdevs,Senior
CI/CD Engineer,Zdalnie,15000,22000,"Inne, Python, CI/CD, Linux",XTB,Mid
Remote Lead Fullstack Developer,Zdalnie,25000,35000,"Fullstack, Python, JavaScript, React",Flyps,Senior
Software Engineer,Kraków,22000,22000,"Fullstack, Python, .NET, Cloud",Medius,Mid
Senior Data Engineer,Kraków,20000,20000,"Data, Python, Databricks, ETL",Medius,Senior
Machine Learning Engineer (100% remote),Zdalnie,16800,25200,"AI/ML, Python, Machine learning, Big data",Devire,Mid
Senior AI Engineer,Zdalnie,26880,31920,"AI/ML, Python, GPT4 API, Claude",Devire,Senior
Senior Embedded Developer,Warszawa,17000,22000,"Embedded, Python, C++, C",PYSENSE Sp. z o. o.,Senior
Lead DevOps AWS Engineer,Zdalnie,30751,32801,"DevOps, Python, AWS, Kubernates",Appex Team,Senior
AWS Backend Developer,Zdalnie,24109,34441,"Backend, Python, Node.js, AWS",Unisystech Consulting Inc.,Senior
DevOps Engineer,Zdalnie,7000,12000,"DevOps, Python, JavaScript, PHP",Sopra Steria Poland,Mid
Senior DevOps Engineer,Zdalnie,25000,32000,"DevOps, Python, AWS, K8s",Zowie,Senior
CloudOps Software Engineer,Kraków,15000,19000,"DevOps, Python, Azure, AWS",Motorola Solutions Systems Polska,Senior
Embedded Software Engineer with C++,Kraków,12000,18000,"Embedded, Python, C++, OpenCV",Motorola Solutions Systems Polska,Senior
"Full-Stack / Front-End Developer (TypeScript, JavaScript, Node.js)",Kraków,9000,16000,"Fullstack, Python, Angular, JavaScript",Motorola Solutions Systems Polska,Mid
DevOps/SCM Engineer,Kraków,12000,19000,"DevOps, Python, Jenkins, Atlassian",Motorola Solutions Systems Polska,Senior
Senior Full-Stack/Back-end Developer C++,Kraków,18000,23000,"Fullstack, Python, C++, JavaScript",Motorola Solutions Systems Polska,Senior
Performance Tester,Zdalnie,16800,23100,"Testing, Python, JMeter, Locust",Sii Polska,Senior
Fullstack Developer (Java/Angular),Zdalnie,20160,26880,"Fullstack, Python, Angular, Team work",Knowit,Mid
DevOps Engineer (Canada PST),Zdalnie,22680,28560,"DevOps, Python, Ansible, AWS",AVENGA,Senior
Senior Embedded Engineer,Wrocław,18480,24360,"Embedded, Python, C++, Embedded system",Clone Incorporated,Senior
Medior/Senior Mendix Low-Code fejlesztő,Zdalnie,8740,10283,"Fullstack, Python, Mendix, Angular",Stylers Kft.,Mid
Senior Product Analyst,Zdalnie,20501,24601,"Data, Python, SQL, Communication skills",N-iX,Senior
Full-Stack Developer,Warsaw,12000,17000,"Fullstack, Python, JavaScript, Web applications",Engager.app,Mid
