Job Title,Location,Minimum Salary,Maximum Salary,Technologies,Company,Seniority Level,Job Link
Customer Support Engineer - (Relocation to London),Londyn,12 816,25 632,"Support, Python, Customer Support, Node.js",Kaedim,Mid,https://nofluffjobs.com/pl/job/customer-support-engineer-relocation-to-london-kaedim-londyn
Software Engineer (Relocation to London),Londyn,14 952,29 904,"Fullstack, Python, React, Tailwind",Kaedim,Mid,https://nofluffjobs.com/pl/job/software-engineer-relocation-to-london-kaedim-londyn
DevOps Engineer (Relocation do London),Londyn,14 952,27 768,"DevOps, Python, Degree, Scripting language",Kaedim,Mid,https://nofluffjobs.com/pl/job/devops-engineer-relocation-do-london-kaedim-londyn
Azure Cloud Automation Engineer,Warszawa,10 000,15 000,"DevOps, Python, Azure, Azure Cloud",Omada,Junior,https://nofluffjobs.com/pl/job/azure-cloud-automation-engineer-omada-warszawa
Network Automation Consultant,Zdalnie,Not specified,Not specified,"DevOps, Python, Networking, Protocols",Experis Polska,Senior,https://nofluffjobs.com/pl/job/network-automation-consultant-experis-polska-remote-1
Senior Data Engineer (Azure / Databricks),Zdalnie,26 880,33 600,"Data, Python, Microsoft azure, Databricks",GetInData | Part of Xebia,Senior,https://nofluffjobs.com/pl/job/senior-data-engineer-azure-databricks-getindata-part-of-xebia-remote
QA Automation Test Engineer (Szczecin or Wrocław),Szczecin,18 480,25 200,"Automatyka, Python, QA, Robot Framework",Spyrosoft,Senior,https://nofluffjobs.com/pl/job/qa-automation-test-engineer-szczecin-or-wroclaw-spyrosoft-szczecin
Marketing Analytics Specialist,Łódź,7 740,12 340,"Marketing, Python, Google Analytics, GTM",Full Stack Experts,Mid,https://nofluffjobs.com/pl/job/marketing-analytics-specialist-full-stack-experts-lodz
Senior Storage Engineer with French,Kraków,Not specified,Not specified,"Sys. Administrator, Python, Storage, SAN",Capgemini Polska Sp. z o.o.,Mid,https://nofluffjobs.com/pl/job/senior-storage-engineer-with-french-capgemini-polska-krakow
Android Automotive Software Engineer,Zdalnie,33 600,33 600,"Backend, Python, Java, Yocto",Spyrosoft,Senior,https://nofluffjobs.com/pl/job/android-automotive-software-engineer-spyrosoft-remote-2
Power BI Data Analyst,Zdalnie,19 320,25 200,"Data, Python, Azure, Power BI",Holisticon Connect,Mid,https://nofluffjobs.com/pl/job/power-bi-data-analyst-holisticon-connect-remote-1
Backend Engineer (Infrastructure),Zdalnie,Not specified,Not specified,"Backend, Python, AWS, Boost",Welltech,Mid,https://nofluffjobs.com/pl/job/backend-engineer-infrastructure-welltech-remote
Data Engineer,Zdalnie,26 880,31 920,"Data, Python, Spark, Microsoft Azure",emagine Sp. Z o.o.,Senior,https://nofluffjobs.com/pl/job/data-engineer-emagine-remote-2
FullStack Node Developer,Zdalnie,Not specified,Not specified,"Fullstack, Python, Node.js, Nest.js",Euvic S.A.,Mid,https://nofluffjobs.com/pl/job/fullstack-node-developer-euvic-remote
Software Engineer - Golang at Koyeb - relocation to Paris,Zdalnie,20 501,25 626,"Backend, Python, Golang, SSO",Koyeb,Mid,https://nofluffjobs.com/pl/job/software-engineer-golang-at-koyeb-relocation-to-paris-koyeb-remote
DevSecOps Specialist,Warszawa,Not specified,Not specified,"DevOps, Python, SDLC, CD",Experis Polska,Senior,https://nofluffjobs.com/pl/job/devsecops-specialist-experis-polska-warszawa-1
Architekt Danych,Warszawa,Not specified,Not specified,"Data, Python, Databricks, Oracle",Santander Bank Polska,Mid,https://nofluffjobs.com/pl/job/architekt-danych-santander-bank-polska-warszawa
